0.98	514.5	294	110.25	7	5	0	0	15.55
0.86	588	294	147	7	4	0	0	19.34
0.76	661.5	416.5	122.5	7	2	0	0	24.77
0.76	661.5	416.5	122.5	7	4	0	0	24.77
0.76	661.5	416.5	122.5	7	5	0	0	23.93
0.71	710.5	269.5	220.5	3.5	5	0	0	6.4
0.69	735	294	220.5	3.5	2	0	0	6.85
0.69	735	294	220.5	3.5	4	0	0	6.77
0.66	759.5	318.5	220.5	3.5	4	0	0	7.1
0.64	784	343	220.5	3.5	5	0	0	10.56
0.98	514.5	294	110.25	7	5	0.1	1	24.59
0.9	563.5	318.5	122.5	7	5	0.1	1	28.09
0.86	588	294	147	7	2	0.1	1	26.28
0.86	588	294	147	7	5	0.1	1	25.27
0.82	612.5	318.5	147	7	4	0.1	1	23.54
0.79	637	343	147	7	3	0.1	1	37.12
0.79	637	343	147	7	4	0.1	1	36.9
0.64	784	343	220.5	3.5	5	0.1	1	15.21
0.62	808.5	367.5	220.5	3.5	2	0.1	1	12.96
0.62	808.5	367.5	220.5	3.5	5	0.1	1	13.02
0.9	563.5	318.5	122.5	7	2	0.1	2	28.88
0.86	588	294	147	7	2	0.1	2	26.48
0.86	588	294	147	7	5	0.1	2	25.36
0.82	612.5	318.5	147	7	2	0.1	2	23.75
0.82	612.5	318.5	147	7	4	0.1	2	23.67
0.79	637	343	147	7	3	0.1	2	37.26
0.79	637	343	147	7	4	0.1	2	36.97
0.76	661.5	416.5	122.5	7	5	0.1	2	32.41
0.74	686	245	220.5	3.5	2	0.1	2	10.42
0.74	686	245	220.5	3.5	3	0.1	2	10.46
0.69	735	294	220.5	3.5	2	0.1	2	11.45
0.69	735	294	220.5	3.5	4	0.1	2	11.32
0.69	735	294	220.5	3.5	5	0.1	2	11.49
0.66	759.5	318.5	220.5	3.5	3	0.1	2	11.42
0.64	784	343	220.5	3.5	3	0.1	2	15.18
0.62	808.5	367.5	220.5	3.5	2	0.1	2	12.88
0.62	808.5	367.5	220.5	3.5	3	0.1	2	13
0.82	612.5	318.5	147	7	2	0.1	3	22.93
0.79	637	343	147	7	3	0.1	3	35.48
0.76	661.5	416.5	122.5	7	4	0.1	3	32.33
0.71	710.5	269.5	220.5	3.5	3	0.1	3	10.68
0.66	759.5	318.5	220.5	3.5	2	0.1	3	11.59
0.62	808.5	367.5	220.5	3.5	3	0.1	3	12.63
0.98	514.5	294	110.25	7	2	0.1	4	24.38
0.98	514.5	294	110.25	7	3	0.1	4	24.23
0.98	514.5	294	110.25	7	4	0.1	4	24.04
0.82	612.5	318.5	147	7	4	0.1	4	23.59
0.74	686	245	220.5	3.5	5	0.1	4	10.14
0.69	735	294	220.5	3.5	5	0.1	4	11.2
0.66	759.5	318.5	220.5	3.5	2	0.1	4	11.44
0.64	784	343	220.5	3.5	2	0.1	4	15.4
0.62	808.5	367.5	220.5	3.5	3	0.1	4	13.04
0.62	808.5	367.5	220.5	3.5	4	0.1	4	13
0.62	808.5	367.5	220.5	3.5	5	0.1	4	13
0.98	514.5	294	110.25	7	2	0.1	5	24.35
0.98	514.5	294	110.25	7	3	0.1	5	24.33
0.86	588	294	147	7	3	0.1	5	26.45
0.79	637	343	147	7	4	0.1	5	36.77
0.74	686	245	220.5	3.5	4	0.1	5	10.34
0.66	759.5	318.5	220.5	3.5	3	0.1	5	11.34
0.64	784	343	220.5	3.5	3	0.1	5	15.37
0.64	784	343	220.5	3.5	5	0.1	5	15.36
0.62	808.5	367.5	220.5	3.5	3	0.1	5	12.74
0.98	514.5	294	110.25	7	2	0.25	1	28.15
0.9	563.5	318.5	122.5	7	2	0.25	1	32.68
0.79	637	343	147	7	5	0.25	1	39.04
0.74	686	245	220.5	3.5	3	0.25	1	12.5
0.74	686	245	220.5	3.5	5	0.25	1	12.45
0.64	784	343	220.5	3.5	2	0.25	1	17.5
0.64	784	343	220.5	3.5	3	0.25	1	17.35
0.64	784	343	220.5	3.5	5	0.25	1	17.37
0.62	808.5	367.5	220.5	3.5	4	0.25	1	15.08
0.9	563.5	318.5	122.5	7	3	0.25	2	33.27
0.9	563.5	318.5	122.5	7	4	0.25	2	32.33
0.9	563.5	318.5	122.5	7	5	0.25	2	31.66
0.86	588	294	147	7	3	0.25	2	29.87
0.82	612.5	318.5	147	7	2	0.25	2	25.74
0.79	637	343	147	7	3	0.25	2	40.19
0.76	661.5	416.5	122.5	7	2	0.25	2	36.95
0.74	686	245	220.5	3.5	2	0.25	2	12.35
0.71	710.5	269.5	220.5	3.5	4	0.25	2	12.2
0.71	710.5	269.5	220.5	3.5	5	0.25	2	12.49
0.69	735	294	220.5	3.5	5	0.25	2	12.95
0.66	759.5	318.5	220.5	3.5	2	0.25	2	13.05
0.64	784	343	220.5	3.5	4	0.25	2	17.02
0.62	808.5	367.5	220.5	3.5	5	0.25	2	14.6
0.98	514.5	294	110.25	7	3	0.25	3	28.56
0.82	612.5	318.5	147	7	2	0.25	3	24.7
0.79	637	343	147	7	2	0.25	3	39.04
0.69	735	294	220.5	3.5	2	0.25	3	12.34
0.69	735	294	220.5	3.5	3	0.25	3	12.46
0.66	759.5	318.5	220.5	3.5	2	0.25	3	12.97
0.64	784	343	220.5	3.5	2	0.25	3	16.83
0.64	784	343	220.5	3.5	3	0.25	3	16.93
0.64	784	343	220.5	3.5	4	0.25	3	16.66
0.64	784	343	220.5	3.5	5	0.25	3	16.86
0.62	808.5	367.5	220.5	3.5	2	0.25	3	13.91
0.62	808.5	367.5	220.5	3.5	3	0.25	3	14.34
0.62	808.5	367.5	220.5	3.5	5	0.25	3	13.99
0.98	514.5	294	110.25	7	2	0.25	4	28.7
0.9	563.5	318.5	122.5	7	2	0.25	4	32.67
0.86	588	294	147	7	2	0.25	4	29.47
0.82	612.5	318.5	147	7	2	0.25	4	25.66
0.82	612.5	318.5	147	7	5	0.25	4	26
0.79	637	343	147	7	2	0.25	4	40
0.76	661.5	416.5	122.5	7	5	0.25	4	36.26
0.71	710.5	269.5	220.5	3.5	4	0.25	4	12.17
0.66	759.5	318.5	220.5	3.5	5	0.25	4	12.92
0.64	784	343	220.5	3.5	4	0.25	4	16.56
0.62	808.5	367.5	220.5	3.5	3	0.25	4	14.61
0.62	808.5	367.5	220.5	3.5	5	0.25	4	14.65
0.98	514.5	294	110.25	7	4	0.25	5	28.15
0.86	588	294	147	7	3	0.25	5	29.09
0.82	612.5	318.5	147	7	4	0.25	5	24.6
0.76	661.5	416.5	122.5	7	4	0.25	5	36.06
0.74	686	245	220.5	3.5	5	0.25	5	12.02
0.71	710.5	269.5	220.5	3.5	2	0.25	5	12.27
0.69	735	294	220.5	3.5	3	0.25	5	12.12
0.66	759.5	318.5	220.5	3.5	3	0.25	5	12.82
