0.98	514.5	294	110.25	7	3	0	0	15.55
0.98	514.5	294	110.25	7	4	0	0	15.55
0.9	563.5	318.5	122.5	7	2	0	0	20.84
0.9	563.5	318.5	122.5	7	5	0	0	19.68
0.86	588	294	147	7	5	0	0	18.31
0.82	612.5	318.5	147	7	3	0	0	17.41
0.82	612.5	318.5	147	7	4	0	0	16.95
0.79	637	343	147	7	5	0	0	28.75
0.76	661.5	416.5	122.5	7	3	0	0	23.93
0.74	686	245	220.5	3.5	2	0	0	6.07
0.74	686	245	220.5	3.5	3	0	0	6.05
0.69	735	294	220.5	3.5	3	0	0	6.79
0.69	735	294	220.5	3.5	5	0	0	6.81
0.66	759.5	318.5	220.5	3.5	2	0	0	7.18
0.66	759.5	318.5	220.5	3.5	3	0	0	7.1
0.66	759.5	318.5	220.5	3.5	5	0	0	7.1
0.64	784	343	220.5	3.5	2	0	0	10.85
0.64	784	343	220.5	3.5	3	0	0	10.54
0.62	808.5	367.5	220.5	3.5	2	0	0	8.6
0.62	808.5	367.5	220.5	3.5	3	0	0	8.49
0.62	808.5	367.5	220.5	3.5	4	0	0	8.45
0.62	808.5	367.5	220.5	3.5	5	0	0	8.5
0.9	563.5	318.5	122.5	7	2	0.1	1	29.03
0.86	588	294	147	7	3	0.1	1	26.91
0.86	588	294	147	7	4	0.1	1	26.37
0.82	612.5	318.5	147	7	2	0.1	1	23.53
0.82	612.5	318.5	147	7	5	0.1	1	22.58
0.79	637	343	147	7	2	0.1	1	35.56
0.76	661.5	416.5	122.5	7	3	0.1	1	32.12
0.76	661.5	416.5	122.5	7	5	0.1	1	32.21
0.74	686	245	220.5	3.5	2	0.1	1	10.36
0.74	686	245	220.5	3.5	4	0.1	1	10.36
0.74	686	245	220.5	3.5	5	0.1	1	10.39
0.71	710.5	269.5	220.5	3.5	3	0.1	1	10.8
0.71	710.5	269.5	220.5	3.5	4	0.1	1	10.7
0.71	710.5	269.5	220.5	3.5	5	0.1	1	10.75
0.69	735	294	220.5	3.5	3	0.1	1	11.13
0.69	735	294	220.5	3.5	5	0.1	1	11.16
0.66	759.5	318.5	220.5	3.5	3	0.1	1	11.69
